Região Geográfica,Unidade da Federação,Faixa de Proeficiência,Total_Desempenho,Idade,Quantidade,area
Sul,Santa Catarina,901-1.000,5919.0,<17,707.0,Redação
Sul,Santa Catarina,>1.001,1.0,<17,0.0,Redação
Sul,Rio Grande do Sul,0 -100,4.0,<17,0.0,Redação
Sul,Rio Grande do Sul,101-200,41.0,<17,0.0,Redação
Sul,Rio Grande do Sul,201-300,1243.0,<17,48.0,Redação
Sul,Rio Grande do Sul,301-400,6204.0,<17,306.0,Redação
Sul,Rio Grande do Sul,401-500,11744.0,<17,681.0,Redação
Sul,Rio Grande do Sul,501-600,25826.0,<17,1694.0,Redação
Sul,Rio Grande do Sul,601-700,25044.0,<17,2104.0,Redação
Sul,Rio Grande do Sul,701-800,16053.0,<17,1590.0,Redação
Sul,Rio Grande do Sul,801-900,16214.0,<17,1433.0,Redação
Sul,Rio Grande do Sul,901-1.000,12018.0,<17,768.0,Redação
Sul,Rio Grande do Sul,>1.001,6.0,<17,0.0,Redação
Centro-Oeste,Mato Grosso do Sul,0 -100,2.0,<17,0.0,Redação
Centro-Oeste,Mato Grosso do Sul,101-200,19.0,<17,1.0,Redação
Centro-Oeste,Mato Grosso do Sul,201-300,579.0,<17,39.0,Redação
Centro-Oeste,Mato Grosso do Sul,301-400,2446.0,<17,271.0,Redação
Centro-Oeste,Mato Grosso do Sul,401-500,4113.0,<17,489.0,Redação
Centro-Oeste,Mato Grosso do Sul,501-600,7548.0,<17,1099.0,Redação
Centro-Oeste,Mato Grosso do Sul,601-700,6604.0,<17,1113.0,Redação
Centro-Oeste,Mato Grosso do Sul,701-800,4033.0,<17,774.0,Redação
Centro-Oeste,Mato Grosso do Sul,801-900,3908.0,<17,691.0,Redação
Centro-Oeste,Mato Grosso do Sul,901-1.000,2645.0,<17,331.0,Redação
Centro-Oeste,Mato Grosso do Sul,>1.001,0.0,<17,0.0,Redação
Centro-Oeste,Mato Grosso ,0 -100,8.0,<17,0.0,Redação
